run_id,guild_id,raid_id,date_finished
0.0,0.0,0.0,2023-02-19 00:48:30.140696
1.0,1.0,0.0,2023-02-19 00:51:36.701725
2.0,1.0,0.0,2023-02-19 00:48:30.140696
3.0,1.0,0.0,2023-02-19 00:48:30.140696
4.0,1.0,0.0,2023-02-19 00:48:30.140696
5.0,1.0,0.0,2023-02-19 00:48:30.140696
6.0,1.0,0.0,2023-02-19 00:48:30.140696
7.0,1.0,0.0,2023-02-19 00:48:30.140696
8.0,1.0,0.0,2023-02-19 00:48:30.140696
9.0,1.0,0.0,2023-02-19 00:48:30.140696
10.0,1.0,1.0,2023-02-19 00:48:30.140696
11.0,1.0,1.0,2023-02-19 00:48:30.140696
12.0,1.0,1.0,2023-02-19 00:48:30.140696
13.0,1.0,1.0,2023-02-19 00:48:30.140696
14.0,1.0,1.0,2023-02-19 00:48:30.140696
15.0,1.0,1.0,2023-02-19 00:48:30.140696
16.0,1.0,1.0,2023-02-19 00:48:30.140696
17.0,1.0,1.0,2023-02-19 00:48:30.140696
18.0,1.0,1.0,2023-02-19 00:48:30.140696
